41
6148
0 41
221.746 2.85798 13
230.256 2.61334 14
238.203 2.28286 15
244.893 2.40769 16
250.769 2.3953 17
255.486 2.62956 18
260.682 2.40689 19
263.783 2.78266 20
268.071 4.18161 21
273.31 5.75894 22
276.221 7.22966 23
279.422 7.6382 24
281.466 8.53235 25
285.914 9.67643 26
287.287 11.7429 27
288.475 13.8768 28
289.374 14.3263 29
286.705 17.6722 30
282.94 19.0994 31
277.904 19.8016 32
270.437 21.6214 33
261.949 24.2363 34
255.495 26.4765 35
248.678 27.1271 36
245.484 27.3665 37
242.498 27.8556 38
242.953 28.3884 39
244.226 29.2481 40
0 41
148 4 0
151.098 2.91659 1
155.232 2.15691 2
160.836 2.35284 3
169.572 2.10902 4
177.857 2.58617 5
184.798 2.82257 6
191.84 1.91593 7
198.129 2.57362 8
204.044 3.60465 9
211.132 4.23833 10
215.973 4.03651 11
222.979 3.40933 12
229.431 3.13158 13
237.94 2.88186 14
245.873 2.48924 15
252.512 2.58935 16
258.386 2.57475 17
263.101 2.81075 18
268.271 2.5686 19
271.373 2.98636 20
275.648 4.37805 21
280.764 5.81726 22
283.669 7.287 23
286.855 7.68805 24
288.857 8.53354 25
293.283 9.70836 26
294.672 11.7384 27
295.845 13.9001 28
296.749 14.3496 29
294.014 17.5539 30
290.248 18.9822 31
285.2 19.6704 32
277.758 21.503 33
269.283 24.1424 34
262.819 26.3751 35
255.981 26.9485 36
252.779 27.2029 37
249.796 27.7173 38
250.217 28.2534 39
251.475 29.0738 40
0 41
156 4 0
159.276 2.82442 1
163.389 2.21394 2
168.933 2.37071 3
177.677 2.16568 4
185.933 2.56402 5
192.883 2.71501 6
200.008 1.83444 7
206.222 2.42388 8
212.117 3.4249 9
219.224 4.02258 10
224.07 3.82435 11
231.057 2.98507 12
237.456 2.72697 13
245.949 2.48321 14
253.94 2.1333 15
260.577 2.22624 16
266.449 2.21263 17
271.1 2.38059 18
276.281 2.14967 19
279.379 2.56622 20
283.634 3.94397 21
288.801 5.29081 22
291.684 6.79912 23
294.855 7.17445 24
296.849 8.02135 25
301.295 9.12954 26
302.685 11.1556 27
303.844 13.3131 28
304.744 13.7558 29
302.007 16.8919 30
298.254 18.3488 31
293.194 18.9838 32
285.697 20.8843 33
277.237 23.5154 34
270.763 25.7576 35
263.958 26.3004 36
260.729 26.5822 37
257.768 27.0994 38
258.187 27.6399 39
259.481 28.3833 40
0 41
164 4 0
167.105 2.90164 1
171.111 2.30366 2
176.652 2.46211 3
185.383 2.2563 4
193.637 2.6498 5
200.6 2.79045 6
207.574 1.87005 7
213.788 2.45324 8
219.687 3.45107 9
226.786 4.04659 10
231.632 3.80885 11
238.585 2.95863 12
244.964 2.70252 13
253.449 2.46622 14
261.377 2.09882 15
268.046 2.1256 16
273.912 2.13253 17
278.569 2.28738 18
283.723 2.07059 19
286.826 2.49016 20
291.08 3.86412 21
296.341 5.20781 22
299.221 6.68933 23
302.376 7.04416 24
304.364 7.8938 25
308.813 9.00832 26
310.208 11.033 27
311.36 13.1774 28
312.266 13.6369 29
309.521 16.7725 30
305.798 18.2635 31
300.732 18.8824 32
293.231 20.8438 33
284.772 23.4742 34
278.298 25.7254 35
271.507 26.2648 36
268.276 26.5638 37
265.34 27.0895 38
265.749 27.6446 39
267.057 28.3618 40
0 41
172 4 0
175.243 2.82329 1
179.206 2.00745 2
184.745 2.18031 3
193.436 1.80196 4
201.667 2.23047 5
208.631 2.36545 6
215.605 1.42598 7
221.821 2.00952 8
227.72 3.00657 9
234.796 3.61038 10
239.664 3.32986 11
246.614 2.71801 12
252.95 2.40268 13
261.464 2.05297 14
269.376 1.5892 15
276.041 1.61313 16
281.907 1.62139 17
286.574 1.78931 18
291.727 1.55801 19
294.829 1.98408 20
299.078 3.35899 21
304.319 4.7371 22
307.184 6.19787 23
310.338 6.54798 24
312.307 7.37778 25
316.791 8.53605 26
318.187 10.5604 27
319.306 12.6758 28
320.214 13.1442 29
317.464 16.3043 30
313.74 17.797 31
308.648 18.409 32
301.153 20.3818 33
292.696 23.0107 34
286.225 25.2691 35
279.433 25.8102 36
276.198 26.0918 37
273.267 26.6181 38
273.674 27.1788 39
274.991 27.8875 40
0 41
180 4 0
183.294 2.74754 1
187.269 1.93185 2
192.79 2.10575 3
201.477 1.71073 4
209.701 2.15269 5
216.661 2.28543 6
223.639 1.34593 7
229.854 1.92576 8
235.75 2.92263 9
242.778 3.56835 10
247.686 3.23324 11
254.645 2.604 12
260.939 2.26203 13
269.453 1.90539 14
277.369 1.47831 15
284.027 1.49601 16
289.889 1.49767 17
294.586 1.73699 18
299.792 1.42659 19
302.879 1.86478 20
307.125 3.23628 21
312.355 4.63027 22
315.226 6.09414 23
318.371 6.43318 24
320.325 7.23883 25
324.825 8.42044 26
326.251 10.306 27
327.348 12.4179 28
328.255 12.8971 29
325.496 16.0532 30
321.787 17.5731 31
316.697 18.166 32
309.196 20.2118 33
300.738 22.842 34
294.27 25.1148 35
287.476 25.6637 36
284.231 25.9452 37
281.367 26.465 38
281.768 27.0548 39
283.084 27.7443 40
0 41
188 4 0
191.289 2.75905 1
195.282 1.92598 2
200.746 2.08182 3
209.373 1.71139 4
217.602 2.03498 5
224.559 2.16759 6
231.54 1.2357 7
237.685 1.78014 8
243.596 2.72895 9
250.579 3.41522 10
255.483 3.07965 11
262.433 2.3081 12
268.712 2.06932 13
277.218 1.68302 14
285.16 1.37673 15
291.816 1.39027 16
297.647 1.3332 17
302.35 1.56303 18
307.558 1.25551 19
310.599 1.69613 20
314.855 3.04426 21
320.035 4.48996 22
322.939 5.97001 23
326.081 6.30439 24
328.023 7.08213 25
332.522 8.27465 26
333.962 10.143 27
335.039 12.2962 28
335.946 12.7759 29
333.169 15.9203 30
329.462 17.5186 31
324.369 18.1093 32
316.863 20.1819 33
308.406 22.8102 34
301.932 25.0976 35
295.147 25.6531 36
291.891 25.9608 37
289.011 26.5013 38
289.411 27.098 39
290.701 27.7434 40
0 41
196 4 0
199.167 2.75234 1
203.243 1.86128 2
208.701 2.01304 3
217.311 1.62831 4
225.539 1.9506 5
232.453 2.0616 6
239.438 1.13235 7
245.582 1.67542 8
251.495 2.6232 9
258.475 3.30966 10
263.375 2.96929 11
270.309 2.09672 12
276.601 1.87828 13
285.081 1.50857 14
293.022 1.19593 15
299.672 1.19167 16
305.499 1.13466 17
310.217 1.35825 18
315.369 1.07111 19
318.45 1.50232 20
322.689 2.80118 21
327.877 4.23342 22
330.78 5.7345 23
333.925 6.06862 24
335.843 6.83448 25
340.337 8.03191 26
341.779 9.92265 27
342.867 12.0829 28
343.775 12.5373 29
341.036 15.7212 30
337.32 17.3194 31
332.231 17.9105 32
324.712 19.991 33
316.264 22.6229 34
309.79 24.9145 35
303.002 25.4821 36
299.747 25.7973 37
296.845 26.3335 38
297.254 26.9257 39
298.541 27.5709 40
0 41
220 4 0
223.105 2.61304 1
227.243 1.91466 2
232.689 2.03814 3
241.315 1.58941 4
249.469 1.8702 5
256.378 1.8822 6
263.767 1.18668 7
269.878 1.70697 8
275.786 2.60536 9
282.774 3.22643 10
287.68 2.9141 11
294.569 2.08466 12
300.904 1.80799 13
309.423 1.42673 14
317.353 0.822904 15
323.965 0.780082 16
329.793 0.722779 17
334.544 0.897131 18
339.592 0.583142 19
342.762 1.01468 20
346.98 2.28721 21
352.175 3.62603 22
355.113 5.06036 23
358.266 5.36692 24
360.182 6.11933 25
364.666 7.29843 26
366.078 9.34382 27
367.164 11.3816 28
368.122 11.8303 29
365.335 15.0526 30
361.691 16.5862 31
356.604 17.3615 32
349.086 19.441 33
340.577 22.1096 34
334.101 24.4181 35
327.332 24.9939 36
324.061 25.3011 37
321.17 25.8228 38
321.582 26.4127 39
322.858 27.0603 40
0 41
228 4 0
231.025 2.79296 1
235.146 2.04423 2
240.56 2.14001 3
249.103 1.7224 4
257.253 1.99828 5
264.151 2.00045 6
271.068 1.14318 7
277.183 1.65961 8
283.105 2.40322 9
290.065 3.01986 10
294.969 2.67641 11
301.7 1.92063 12
307.956 1.61678 13
316.435 1.18289 14
324.36 0.575513 15
330.966 0.531971 16
336.791 0.471732 17
341.549 0.64549 18
346.541 0.331375 19
349.727 0.75517 20
353.95 2.02773 21
359.138 3.18922 22
362.182 4.43838 23
365.336 4.75355 24
367.214 5.47704 25
371.709 6.64154 26
373.096 8.69017 27
374.146 10.745 28
375.112 11.2008 29
372.317 14.4515 30
368.634 15.9897 31
363.543 16.7792 32
356.04 18.8499 33
347.469 21.5787 34
340.997 23.8803 35
334.229 24.4613 36
330.952 24.7468 37
328.05 25.2544 38
328.46 25.8634 39
329.728 26.5164 40
0 41
236 4 0
239.08 2.84819 1
243.266 2.13401 2
248.7 2.24862 3
257.235 1.83733 4
265.385 2.0427 5
272.279 2.05362 6
279.203 1.31618 7
285.318 1.83823 8
291.323 2.49202 9
298.273 3.09389 10
303.173 2.73677 11
310.057 2.09286 12
316.385 1.83779 13
324.868 1.40394 14
332.801 0.794613 15
339.405 0.755091 16
345.222 0.691836 17
349.986 0.86577 18
354.957 0.570003 19
358.15 0.993362 20
362.328 2.27051 21
367.517 3.36914 22
370.46 4.78033 23
373.633 5.06055 24
375.507 5.77973 25
379.967 6.95132 26
381.337 8.977 27
382.414 11.0511 28
383.385 11.5191 29
380.646 14.74 30
376.912 16.2891 31
371.827 17.0843 32
364.333 19.153 33
355.765 21.9361 34
349.297 24.2492 35
342.53 24.828 36
339.256 25.1197 37
336.35 25.6304 38
336.774 26.2277 39
338.039 26.8884 40
0 41
244 4 0
247.107 2.65423 1
251.113 1.83636 2
256.555 1.94888 3
265.058 1.58253 4
273.202 1.7665 5
280.09 1.78449 6
286.964 1.14114 7
293.146 1.72573 8
299.16 2.36443 9
306.106 2.92599 10
310.962 2.56838 11
317.878 1.94455 12
324.204 1.69256 13
332.553 1.35846 14
340.487 0.827782 15
347.106 0.753703 16
352.905 0.707731 17
357.671 0.8803 18
362.64 0.586332 19
365.838 1.00931 20
369.93 2.24839 21
375.165 3.38882 22
378.101 4.60255 23
381.272 4.87973 24
383.143 5.59421 25
387.592 6.68155 26
388.933 8.70112 27
390.008 10.7679 28
390.987 11.2419 29
388.245 14.5039 30
384.505 16.036 31
379.415 16.8522 32
371.936 18.9467 33
363.372 21.7303 34
356.899 24.0487 35
350.133 24.6022 36
346.871 24.92 37
343.96 25.4362 38
344.386 26.0359 39
345.649 26.6936 40
0 41
260 4 0
263.121 2.70876 1
267.184 2.13274 2
272.63 2.20534 3
281.215 1.88236 4
289.345 2.02781 5
296.191 1.96141 6
303.243 1.38454 7
309.416 1.95689 8
315.199 2.74603 9
322.189 3.25229 10
326.972 3.01295 11
333.925 2.19626 12
340.26 1.81248 13
348.685 1.42077 14
356.612 0.941823 15
363.251 0.802448 16
369.034 0.735175 17
373.771 0.868918 18
378.903 0.528199 19
381.986 0.966951 20
386.191 2.1545 21
391.418 3.40165 22
394.359 4.647 23
397.488 4.9068 24
399.397 5.55838 25
403.835 6.59841 26
405.18 8.57676 27
406.27 10.6822 28
407.23 11.1669 29
404.489 14.4452 30
400.753 16.0112 31
395.664 16.8349 32
388.125 19.0506 33
379.623 21.8016 34
373.142 24.1261 35
366.362 24.7131 36
363.101 24.9887 37
360.162 25.5323 38
360.585 26.1236 39
361.853 26.789 40
0 16
268 4 0
271.106 2.71888 1
275.166 2.15486 2
280.612 2.1886 3
289.149 1.71343 4
297.27 1.84171 5
304.105 1.76386 6
311.177 1.14415 7
317.344 1.68835 8
323.109 2.50944 9
330.115 3.04326 10
334.924 2.68412 11
341.839 1.76641 12
348.181 1.38949 13
356.604 0.977035 14
364.529 0.497564 15
0 41
276 4 0
279.161 2.57162 1
283.253 2.08507 2
288.695 2.11473 3
297.208 1.66322 4
305.338 1.77877 5
312.168 1.69393 6
319.187 1.08823 7
325.351 1.62056 8
331.115 2.43235 9
338.143 2.93354 10
342.931 2.60145 11
349.79 1.80412 12
356.181 1.52943 13
364.584 1.24332 14
372.504 0.835531 15
379.163 0.705828 16
384.967 0.623213 17
389.675 0.74018 18
394.805 0.406332 19
397.898 0.837657 20
402.137 1.43965 21
407.337 2.6834 22
410.308 3.85896 23
413.431 4.10911 24
415.401 4.69306 25
419.845 5.74136 26
421.246 7.75708 27
422.351 9.87168 28
423.219 10.4168 29
420.485 13.6989 30
416.73 15.3726 31
411.659 16.2125 32
404.114 18.4361 33
395.621 21.2885 34
389.123 23.5957 35
382.336 24.189 36
379.069 24.4669 37
376.115 25.01 38
376.546 25.5819 39
377.837 26.2855 40
0 41
284 4 0
287.21 2.67444 1
291.313 2.05909 2
296.758 2.08814 3
305.277 1.63542 4
313.414 1.73999 5
320.251 1.65221 6
327.351 1.03198 7
333.509 1.56605 8
339.267 2.37583 9
346.28 2.82856 10
351.072 2.52572 11
358.073 1.79865 12
364.493 1.53776 13
373.029 1.18856 14
381.041 1.03286 15
387.706 0.907305 16
393.518 0.813676 17
398.216 0.925291 18
403.368 0.597548 19
406.446 1.02924 20
410.639 1.61188 21
415.742 2.87877 22
418.597 4.02054 23
421.722 4.26288 24
423.674 4.84133 25
428.105 5.859 26
429.508 7.87678 27
430.606 9.99588 28
431.465 10.5184 29
428.755 13.8284 30
424.904 15.5052 31
419.847 16.3568 32
412.299 18.584 33
403.795 21.4548 34
397.293 23.7613 35
390.487 24.3327 36
387.223 24.6183 37
384.271 25.159 38
384.704 25.7685 39
385.998 26.4708 40
0 41
292 4 0
295.279 2.91539 1
299.313 2.22812 2
304.807 2.24946 3
313.381 1.87423 4
321.522 1.96242 5
328.379 1.86671 6
335.271 1.43313 7
341.453 1.70533 8
347.279 2.13618 9
354.141 2.53094 10
359.013 2.30333 11
366.016 1.88279 12
372.434 1.6603 13
380.954 1.40347 14
388.726 1.12743 15
395.462 1.10388 16
401.274 1.00761 17
405.976 1.08688 18
411.215 0.880507 19
414.248 1.27064 20
418.457 1.77769 21
423.568 2.52732 22
426.305 3.56665 23
429.408 3.7898 24
431.371 4.33009 25
435.801 5.33494 26
437.252 7.38839 27
438.358 9.48744 28
439.196 9.99894 29
436.59 13.3288 30
432.552 15.0012 31
427.555 15.8567 32
419.943 18.1753 33
411.456 21.047 34
404.937 23.3648 35
398.087 23.9563 36
394.825 24.2367 37
391.779 24.8099 38
392.233 25.4301 39
393.544 26.1277 40
0 15
300 4 0
303.103 2.49682 1
307.091 1.6632 2
312.547 1.63539 3
321.084 0.911756 4
329.223 0.996728 5
336.067 0.840576 6
342.911 0.105466 7
349.036 0.608327 8
354.9 1.35121 9
361.847 1.82259 10
366.647 1.43996 11
373.484 0.734952 12
379.826 0.535616 13
388.267 0.197005 14
0 7
308 4 0
311.147 2.4523 1
315.126 1.59538 2
320.577 1.55886 3
329.108 0.785909 4
337.236 0.833058 5
344.14 0.618542 6
0 13
340 4 0
343.162 2.42483 1
347.123 1.59411 2
352.558 1.57022 3
361.17 0.786382 4
369.241 0.796375 5
376.104 0.619688 6
383.099 -0.315215 7
389.202 0.156273 8
395.051 0.71354 9
402.033 1.19674 10
406.843 0.795103 11
413.794 -0.0207244 12
0 15
348 4 0
351.206 2.52886 1
355.2 1.74502 2
360.618 1.72667 3
369.305 1.12572 4
377.382 1.12522 5
384.209 0.963941 6
391.507 0.589251 7
397.629 0.98073 8
403.437 1.36941 9
410.479 1.81837 10
415.283 1.41727 11
422.44 1.02192 12
428.834 0.614248 13
437.378 0.286365 14
0 17
508 4 0
511.321 2.8834 1
515.464 2.43714 2
521.039 2.29475 3
529.737 1.9439 4
538.053 1.90554 5
545.15 1.69869 6
552.464 1.15029 7
558.902 1.45276 8
564.857 1.9142 9
572.217 2.06821 10
577.284 1.76005 11
584.657 1.26806 12
591.332 1.20844 13
600.191 0.929531 14
608.416 0.520766 15
615.437 0.234297 16
0 16
532 4 0
535.156 2.92903 1
539.372 2.43092 2
544.875 2.30935 3
553.714 2.09567 4
562.184 1.96396 5
569.298 1.68522 6
576.484 1.48572 7
582.933 1.72895 8
589.133 1.98735 9
596.52 2.13479 10
601.5 1.9638 11
608.808 1.80079 12
615.48 1.43048 13
624.442 0.859532 14
632.691 0.489386 15
0 9
564 4 0
567.501 2.63204 1
571.644 2.09312 2
577.357 1.96462 3
586.339 1.94544 4
594.826 1.54926 5
601.918 1.11247 6
609.405 0.617557 7
615.934 0.773447 8
0 2
628 4 0
631.336 3.7956 1
0 41
12 12 0
15.319 10.7964 1
19.6158 9.98478 2
25.4716 10.3233 3
34.6929 10.4773 4
43.443 11.3263 5
50.8461 11.8864 6
58.2752 10.8956 7
64.8616 11.7198 8
71.07 12.8321 9
78.436 13.7948 10
83.5309 13.7001 11
90.8424 12.928 12
97.5043 12.7615 13
106.319 12.7025 14
114.554 12.5138 15
121.523 12.8474 16
127.572 12.9099 17
132.405 13.3806 18
137.753 13.1945 19
140.98 13.649 20
145.459 15.2525 21
150.851 16.8635 22
153.823 18.6162 23
157.108 19.2449 24
159.181 20.2403 25
163.771 21.6243 26
165.301 23.6673 27
166.513 25.8819 28
167.452 26.2753 29
164.852 29.2604 30
160.973 30.6201 31
155.824 30.9741 32
148.162 32.5994 33
139.468 34.8877 34
132.885 37.0971 35
125.919 37.6462 36
122.574 37.9073 37
119.544 38.4616 38
120.024 38.898 39
121.437 39.6736 40
0 41
20 12 0
23.3141 10.7873 1
27.6145 9.97138 2
33.4722 10.3104 3
42.69 10.4628 4
51.4244 11.3045 5
58.8273 11.86 6
66.2166 10.8704 7
72.7985 11.6869 8
79.0087 12.8077 9
86.3699 13.7682 10
91.4521 13.6551 11
98.7299 12.8682 12
105.394 12.6925 13
114.2 12.638 14
122.414 12.4617 15
129.33 12.7426 16
135.345 12.8133 17
140.176 13.2838 18
145.504 13.0937 19
148.727 13.5419 20
153.196 15.1522 21
158.597 16.7527 22
161.555 18.4847 23
164.845 19.1167 24
166.901 20.1071 25
171.485 21.4811 26
173.018 23.5224 27
174.218 25.7565 28
175.154 26.154 29
172.553 29.1346 30
168.686 30.4941 31
163.534 30.8545 32
155.877 32.4839 33
147.197 34.8032 34
140.614 37.0184 35
133.669 37.5684 36
130.326 37.8342 37
127.294 38.3946 38
127.751 38.8382 39
129.16 39.6003 40
0 41
28 12 0
31.3159 10.7871 1
35.6264 9.89915 2
41.4848 10.2374 3
50.6624 10.3648 4
59.3791 11.1925 5
66.7462 11.6307 6
74.1055 10.6384 7
80.6804 11.4587 8
86.8749 12.5832 9
94.1998 13.5148 10
99.2764 13.3929 11
106.461 12.6023 12
113.121 12.3919 13
121.887 12.3213 14
